OSEBuildingID,BuildingType,NumberofBuildings,NumberofFloors,Latitude,Longitude,LargestPropertyUseType,PropertyGFATotal_avg,PropertyGFAParking_avg,PropertyGFABuilding(s)_avg,LargestPropertyUseTypeGFA_avg,SiteEnergyUse(kBtu)_avg,TotalGHGEmissions_avg,ENERGYSTARScore,PropertyGFABuilding(s)_%,PropertyGFAParking_%,Dureedevie
1,NonResidential,1.0,12.0,47.6122,-122.33799,Hotel/Senior Care/Housing,88434.0,0.0,88434.0,88434.0,7103895.25,249.70499999999998,60.0,1.0,0.0,89
2,NonResidential,1.0,11.0,47.61317,-122.33393,Hotel/Senior Care/Housing,103566.0,15064.0,88502.0,83880.0,8371084.0,279.685,61.0,0.85,0.15,20
3,NonResidential,1.0,41.0,47.61393,-122.3381,Hotel/Senior Care/Housing,959050.0,98359.0,860691.0,756868.0,72858840.0,2075.38,43.0,0.9,0.1,47
5,NonResidential,1.0,10.0,47.61412,-122.33664,Hotel/Senior Care/Housing,61320.0,0.0,61320.0,61320.0,17511952.0,1111.385,56.0,1.0,0.0,90
8,NonResidential,1.0,18.0,47.61375,-122.34047,Hotel/Senior Care/Housing,147735.0,37230.0,110505.0,123445.0,14500852.5,506.355,75.0,0.75,0.25,36
10,NonResidential,1.0,11.0,47.6139,-122.33283,Hotel/Senior Care/Housing,83008.0,0.0,83008.0,81352.0,6005818.5,192.3,27.0,1.0,0.0,90
12,NonResidential,1.0,15.0,47.60294,-122.33263,Hotel/Senior Care/Housing,163984.0,0.0,163984.0,163984.0,13178782.0,361.885,43.0,1.0,0.0,112
15,NonResidential,1.0,11.0,47.60695,-122.33414,Hotel/Senior Care/Housing,153163.0,19279.0,133884.0,133884.0,15368248.5,633.9449999999999,30.0,0.87,0.13,47
16,NonResidential,1.0,25.0,47.60713,-122.33323,Hotel/Senior Care/Housing,333176.0,61161.0,272015.0,336640.0,27329068.0,732.185,36.0,0.82,0.18,18
17,NonResidential,1.0,9.0,47.60699,-122.33346,Hotel/Senior Care/Housing,65009.0,0.0,65009.0,65009.0,6701642.25,331.55,48.0,1.0,0.0,88
18,NonResidential,1.0,33.0,47.60809,-122.33212,Hotel/Senior Care/Housing,315952.0,57600.0,258352.0,295511.0,22568527.0,661.98,58.0,0.82,0.18,36
19,NonResidential,1.0,11.0,47.60755,-122.33244,Hotel/Senior Care/Housing,79790.0,12600.0,67190.0,67390.0,10730730.5,498.82,35.0,0.84,0.16,94
23,NonResidential,1.0,28.0,47.60681,-122.33078,Hotel/Senior Care/Housing,416281.0,85000.0,331281.0,348329.0,33413637.0,779.005,31.0,0.8,0.2,33
25,NonResidential,1.0,10.0,47.60376,-122.33194,Hotel/Senior Care/Housing,104352.0,0.0,104352.0,104352.0,8999860.0,380.27,39.0,1.0,0.0,100
26,NonResidential,1.0,10.0,47.60265,-122.33051,Courthouse,540360.0,0.0,540360.0,537150.0,49158558.0,1430.685,76.0,1.0,0.0,100
28,SPS-District K-12,1.0,2.0,47.54576,-122.26853,Education,56228.0,0.0,56228.0,58618.0,1496850.25,36.85,95.0,1.0,0.0,55
29,NonResidential,1.0,6.0,47.65959,-122.31755,Hotel/Senior Care/Housing,88592.0,30586.0,58006.0,58006.0,3772170.25,96.045,84.0,0.65,0.35,15
33,NonResidential,1.0,10.0,47.61784,-122.32966,Hotel/Senior Care/Housing,171866.0,38281.0,133585.0,128909.0,11044430.5,324.18,57.0,0.78,0.22,15
35,NonResidential,1.0,5.0,47.61558,-122.34186,Hotel/Senior Care/Housing,68410.0,16200.0,52210.0,47994.0,4399210.25,127.005,57.0,0.76,0.24,38
36,SPS-District K-12,1.0,2.0,47.70994,-122.29301,Education,160645.0,0.0,160645.0,164229.0,6583441.5,265.275,75.0,1.0,0.0,67
40,NonResidential,1.0,4.0,47.66583,-122.29965,Hotel/Senior Care/Housing,81871.0,0.0,81871.0,81871.0,7044166.75,229.185,29.0,1.0,0.0,22
43,Campus,1.0,3.0,47.53493,-122.31788,Office,494835.0,0.0,494835.0,757027.0,448385312.0,16870.98,8.0,1.0,0.0,24
50,SPS-District K-12,1.0,2.0,47.65671,-122.39047,Education,54986.0,0.0,54986.0,54986.0,1652945.625,30.125,97.0,1.0,0.0,26
51,SPS-District K-12,1.0,2.0,47.68252,-122.29498,Education,175565.0,0.0,175565.0,182861.0,6313273.25,262.36,88.0,1.0,0.0,66
52,NonResidential,1.0,2.0,47.66587,-122.38476,Office,94900.0,0.0,94900.0,55586.0,6115157.25,126.82,57.0,1.0,0.0,55
53,NonResidential,1.0,2.0,47.58034,-122.31132,Office,52554.0,0.0,52554.0,51029.0,2544508.625,70.41499999999999,83.0,1.0,0.0,116
54,NonResidential,1.0,3.0,47.68891,-122.33553,Education,175015.0,0.0,175015.0,175015.0,7037429.25,249.785,95.0,1.0,0.0,62
56,NonResidential,1.0,24.0,47.60946,-122.33337,Hotel/Senior Care/Housing,332210.0,205970.0,126240.0,348630.0,15911911.0,279.59000000000003,67.0,0.38,0.62,47
57,NonResidential,1.0,5.0,47.6113,-122.33659,Office,168115.0,0.0,168115.0,103431.5,9375001.0,65.355,78.0,1.0,0.0,43
59,NonResidential,1.0,8.0,47.61048,-122.33794,Office,59400.0,0.0,59400.0,34947.0,4493960.5,31.33,14.0,1.0,0.0,106
62,NonResidential,1.0,20.0,47.61233,-122.33432,Hotel/Senior Care/Housing,98634.0,10043.0,88591.0,83591.0,5508579.75,68.495,71.0,0.9,0.1,86
63,NonResidential,1.0,34.0,47.61087,-122.33339,Hotel/Senior Care/Housing,994212.0,146694.0,847518.0,994212.0,82913584.0,2648.825,63.0,0.85,0.15,34
65,NonResidential,1.0,7.0,47.60997,-122.34138,Hotel/Senior Care/Housing,71150.0,0.0,71150.0,41340.0,5194345.5,130.605,98.0,1.0,0.0,31
66,NonResidential,1.0,7.0,47.61155,-122.34114,Hotel/Senior Care/Housing,122810.0,0.0,122810.0,88360.0,5244070.25,218.55,99.0,1.0,0.0,108
67,NonResidential,1.0,5.0,47.61986,-122.34413,Hotel/Senior Care/Housing,113173.0,42546.0,70627.0,70627.0,5136292.25,132.76,86.0,0.62,0.38,57
68,NonResidential,1.0,7.0,47.62001,-122.34274,Hotel/Senior Care/Housing,150453.0,34735.0,115718.0,107547.0,6719036.5,195.765,84.0,0.77,0.23,16
69,NonResidential,1.0,6.0,47.62025,-122.34314,Hotel/Senior Care/Housing,116300.0,28200.0,88100.0,88490.0,5920836.75,166.2,80.0,0.76,0.24,19
70,NonResidential,1.0,6.0,47.62023,-122.35951,Hotel/Senior Care/Housing,155602.0,36744.0,118858.0,155602.0,6876096.5,154.675,81.0,0.76,0.24,18
73,NonResidential,1.0,3.0,47.63442,-122.30793,Education,56072.0,0.0,56072.0,56072.0,3170858.875,142.98000000000002,76.0,1.0,0.0,105
77,NonResidential,1.0,4.0,47.62519,-122.34456,Hotel/Senior Care/Housing,122942.0,44891.0,78051.0,78051.0,5307055.5,170.565,94.0,0.63,0.37,17
82,NonResidential,1.0,2.0,47.60823,-122.30956,Office,54984.0,0.0,54984.0,54984.0,3440084.0,86.745,71.0,1.0,0.0,54
84,NonResidential,1.0,5.0,47.55837,-122.37751,Hotel/Senior Care,217603.0,0.0,217603.0,296313.0,44143198.0,1792.975,54.0,1.0,0.0,94
85,NonResidential,1.0,2.0,47.72426,-122.35599,Hotel/Senior Care,93397.0,0.0,93397.0,93397.0,16387163.5,605.55,1.0,1.0,0.0,46
86,NonResidential,1.0,6.0,47.61988,-122.33211,Hotel/Senior Care/Housing,84103.0,20732.0,63371.0,63371.0,3842616.125,70.55000000000001,74.0,0.75,0.25,8
89,NonResidential,1.0,3.0,47.61244,-122.3214,Santé,179014.0,0.0,179014.0,179014.0,17784911.5,497.30999999999995,48.0,1.0,0.0,51
95,NonResidential,1.0,7.0,47.60898,-122.32693,Hotel/Senior Care/Housing,76631.0,0.0,76631.0,76631.0,7245343.25,259.195,71.0,1.0,0.0,108
98,NonResidential,1.0,2.0,47.62237,-122.33805,Commerce,58320.0,0.0,58320.0,72072.0,1061964.3125,39.375,96.0,1.0,0.0,87
100,NonResidential,1.0,5.0,47.62424,-122.33646,Office,316306.0,0.0,316306.0,261826.0,13548406.5,134.94,96.0,1.0,0.0,6
102,NonResidential,1.0,7.0,47.62642,-122.33325,Hotel/Senior Care/Housing,282863.0,44766.0,238097.0,235788.0,19144220.0,518.015,37.0,0.84,0.16,26
107,NonResidential,1.0,12.0,47.62112,-122.33629,Office,571329.0,0.0,571329.0,598801.0,40670332.0,627.24,91.0,1.0,0.0,6
114,NonResidential,1.0,6.0,47.62419,-122.34443,Office,920598.0,303707.0,616891.0,729584.0,36674116.0,654.06,93.0,0.67,0.33,6
115,NonResidential,1.0,4.0,47.62053,-122.35842,Office,76213.0,25930.0,50283.0,48546.0,3389882.75,47.295,68.0,0.66,0.34,46
116,NonResidential,1.0,6.0,47.62291,-122.35708,Hotel/Senior Care/Housing,107324.0,36934.0,70390.0,59976.0,5108421.25,145.41,56.0,0.66,0.34,14
117,NonResidential,2.0,4.0,47.65772,-122.31756,Hotel/Senior Care/Housing,50017.0,0.0,50017.0,50017.0,5509723.5,193.76999999999998,53.0,1.0,0.0,54
119,NonResidential,1.0,3.0,47.62548,-122.30828,Education,67743.0,0.0,67743.0,67743.0,2475083.5,71.4,34.0,1.0,0.0,93
120,NonResidential,1.0,6.0,47.62644,-122.30429,Education,194104.0,0.0,194104.0,194104.0,6054861.75,236.605,100.0,1.0,0.0,108
121,NonResidential,1.0,3.0,47.58408,-122.30125,Office,99433.0,35752.0,63681.0,63681.0,4668397.0,32.545,63.0,0.64,0.36,13
125,SPS-District K-12,1.0,1.0,47.56413,-122.31208,Education,130862.0,0.0,130862.0,133253.0,6153617.5,224.985,61.0,1.0,0.0,59
127,SPS-District K-12,1.0,3.0,47.55478,-122.27596,Education,59955.0,0.0,59955.0,59955.0,1577364.1875,17.79,93.0,1.0,0.0,27
130,SPS-District K-12,1.0,2.0,47.63683,-122.35896,Education,93218.0,0.0,93218.0,93218.0,2979995.5,91.065,86.0,1.0,0.0,52
136,NonResidential,1.0,4.0,47.73141,-122.3458,Hotel/Senior Care/Housing,51390.0,0.0,51390.0,51390.0,3738118.5,133.08,89.0,1.0,0.0,15
137,SPS-District K-12,1.0,2.0,47.72463,-122.35315,Education,131013.0,0.0,131013.0,131909.0,3916902.75,126.22,88.0,1.0,0.0,53
138,SPS-District K-12,1.0,1.0,47.7257,-122.33684,Education,245587.0,0.0,245587.0,245587.0,11104989.5,410.40999999999997,92.0,1.0,0.0,57
139,NonResidential,1.0,3.0,47.72551,-122.3423,Hotel/Senior Care/Housing,69138.0,0.0,69138.0,70609.0,3270514.0,88.71000000000001,78.0,1.0,0.0,14
144,NonResidential,1.0,5.0,47.6048,-122.3368,Hotel/Senior Care/Housing,190980.0,0.0,190980.0,190980.0,6720859.0,146.31,98.0,1.0,0.0,112
147,NonResidential,4.0,5.0,47.66737,-122.37956,Hospital (General Medical & Surgical),285333.0,0.0,285333.0,302661.0,65726622.0,1932.46,14.0,1.0,0.0,62
148,SPS-District K-12,1.0,2.0,47.6706,-122.36225,Education,55513.0,0.0,55513.0,58500.5,1563267.875,10.895,93.0,1.0,0.0,25
168,NonResidential,1.0,4.0,47.62614,-122.3467,Hotel/Senior Care/Housing,162222.0,14200.0,148022.0,113702.0,7850020.5,218.215,76.0,0.91,0.09,20
169,SPS-District K-12,1.0,4.0,47.57589,-122.29365,Education,289588.0,0.0,289588.0,289588.0,8783835.5,176.385,90.0,1.0,0.0,26
175,SPS-District K-12,1.0,3.0,47.60598,-122.30156,Education,254523.0,0.0,254523.0,254523.0,13588407.0,362.85,60.0,1.0,0.0,8
176,SPS-District K-12,1.0,3.0,47.51482,-122.25864,Education,78804.0,0.0,78804.0,78804.0,2473395.5,55.135000000000005,92.0,1.0,0.0,15
177,SPS-District K-12,1.0,3.0,47.61224,-122.29087,Education,66994.0,0.0,66994.0,66994.0,2318937.25,40.515,79.0,1.0,0.0,14
