OSEBuildingID,BuildingType,NumberofBuildings,NumberofFloors,Latitude,Longitude,LargestPropertyUseType,PropertyGFATotal_avg,PropertyGFAParking_avg,PropertyGFABuilding(s)_avg,LargestPropertyUseTypeGFA_avg,SiteEnergyUse(kBtu)_avg,TotalGHGEmissions_avg,PropertyGFABuilding(s)_%,PropertyGFAParking_%,Dureedevie
1,NonResidential,1.0,12.0,47.6122,-122.33799,Hotel/Senior Care/Housing,88434.0,0.0,88434.0,88434.0,7103895.25,249.70499999999998,1.0,0.0,89
2,NonResidential,1.0,11.0,47.61317,-122.33393,Hotel/Senior Care/Housing,103566.0,15064.0,88502.0,83880.0,8371084.0,279.685,0.85,0.15,20
3,NonResidential,1.0,41.0,47.61393,-122.3381,Hotel/Senior Care/Housing,959050.0,98359.0,860691.0,756868.0,72858840.0,2075.38,0.9,0.1,47
5,NonResidential,1.0,10.0,47.61412,-122.33664,Hotel/Senior Care/Housing,61320.0,0.0,61320.0,61320.0,17511952.0,1111.385,1.0,0.0,90
8,NonResidential,1.0,18.0,47.61375,-122.34047,Hotel/Senior Care/Housing,147735.0,37230.0,110505.0,123445.0,14500852.5,506.355,0.75,0.25,36
9,Nonresidential COS,1.0,2.0,47.61623,-122.33657,Police Station,97288.0,37198.0,60090.0,88830.0,12069300.0,303.21500000000003,0.62,0.38,17
10,NonResidential,1.0,11.0,47.6139,-122.33283,Hotel/Senior Care/Housing,83008.0,0.0,83008.0,81352.0,6005818.5,192.3,1.0,0.0,90
11,NonResidential,1.0,8.0,47.61327,-122.33136,Loisirs,102761.0,0.0,102761.0,102761.0,6362076.75,210.75,1.0,0.0,90
12,NonResidential,1.0,15.0,47.60294,-122.33263,Hotel/Senior Care/Housing,163984.0,0.0,163984.0,163984.0,13178782.0,361.885,1.0,0.0,112
15,NonResidential,1.0,11.0,47.60695,-122.33414,Hotel/Senior Care/Housing,153163.0,19279.0,133884.0,133884.0,15368248.5,633.9449999999999,0.87,0.13,47
16,NonResidential,1.0,25.0,47.60713,-122.33323,Hotel/Senior Care/Housing,333176.0,61161.0,272015.0,336640.0,27329068.0,732.185,0.82,0.18,18
17,NonResidential,1.0,9.0,47.60699,-122.33346,Hotel/Senior Care/Housing,65009.0,0.0,65009.0,65009.0,6701642.25,331.55,1.0,0.0,88
18,NonResidential,1.0,33.0,47.60809,-122.33212,Hotel/Senior Care/Housing,315952.0,57600.0,258352.0,295511.0,22568527.0,661.98,0.82,0.18,36
19,NonResidential,1.0,11.0,47.60755,-122.33244,Hotel/Senior Care/Housing,79790.0,12600.0,67190.0,67390.0,10730730.5,498.82,0.84,0.16,94
21,Nonresidential COS,1.0,11.0,47.60649,-122.33297,Education,412000.0,57000.0,355000.0,364913.0,17719047.0,174.11,0.86,0.14,12
